age,workclass,education-num,marital-status,occupation,capital-gains,capital-loss,hours-per-week,native-country,target
31,3,9,2,13,0,0,45,38,1
55,3,9,2,11,4386,0,40,38,1
24,3,10,2,0,0,0,40,24,0
43,3,9,0,0,0,0,40,38,0
26,3,12,4,12,0,0,45,38,0
46,3,12,4,9,0,0,33,38,0
35,3,12,2,0,0,0,40,38,1
41,4,10,2,4,0,0,54,38,1
26,3,13,4,11,0,0,40,38,0
34,3,14,2,3,7298,0,35,35,1
19,8,10,4,14,0,0,25,38,0
36,5,13,0,9,0,0,40,38,1
22,3,10,4,11,0,0,15,38,0
24,3,10,4,6,0,0,40,38,0
77,5,10,2,11,0,0,40,38,0
22,3,3,2,6,0,0,40,25,0
29,3,10,4,12,0,0,40,38,0
62,3,9,6,7,0,0,24,38,0
39,5,9,2,3,0,0,40,38,0
43,3,10,2,2,0,1485,50,38,0
35,3,9,0,13,0,0,45,38,0
29,3,7,4,3,0,0,40,38,0
76,5,14,2,2,0,0,10,38,0
63,5,9,2,4,0,0,45,38,0
23,8,11,4,14,0,0,15,38,0
43,3,10,2,9,0,1887,50,38,1
58,5,9,2,5,0,0,40,38,0
66,3,9,4,13,2050,0,55,38,0
41,3,10,4,2,0,0,45,38,0
26,3,13,4,0,0,0,40,38,0
47,3,11,4,7,0,0,40,38,0
55,1,6,2,0,0,0,40,38,0
53,3,9,2,13,0,0,40,38,0
17,3,3,4,7,0,0,48,25,0
30,3,9,4,2,0,0,40,38,0
49,3,14,4,9,0,0,60,38,0
19,3,9,4,11,0,0,30,13,0
45,3,9,2,7,0,0,40,38,0
26,3,12,4,11,0,0,40,38,0
38,3,11,2,2,7298,0,40,38,1
36,6,9,2,10,7298,0,40,38,1
33,3,9,4,4,0,0,20,38,0
22,6,10,4,10,0,0,40,38,0
43,5,13,4,11,0,0,42,38,0
67,8,7,2,14,0,0,8,38,0
30,8,11,0,14,0,0,40,38,0
56,3,12,3,7,0,0,25,19,0
31,3,13,4,9,0,0,25,38,0
33,3,13,2,3,0,0,40,38,1
26,3,9,2,7,0,0,40,38,0
33,3,13,2,3,0,0,40,38,1
46,1,7,2,13,0,0,30,38,0
59,8,13,2,14,0,0,40,38,1
38,0,9,2,0,0,0,40,38,1
65,3,7,6,7,0,0,40,38,0
40,3,11,2,12,0,0,40,38,1
42,3,9,2,0,0,0,35,38,0
26,5,5,2,2,0,0,40,31,0
36,3,6,2,7,0,0,24,38,0
62,3,14,2,9,0,0,40,38,1
43,3,13,2,13,0,0,45,38,0
43,3,13,0,3,0,1564,45,38,1
22,3,9,3,11,0,0,55,38,0
28,3,9,2,2,0,0,40,38,0
56,5,10,2,11,0,0,45,38,0
22,3,12,4,11,0,0,15,38,0
57,3,13,0,3,0,0,45,38,1
39,3,9,0,11,0,0,40,38,0
26,0,10,4,0,0,0,15,38,0
17,3,7,4,7,0,0,10,38,0
40,6,11,2,6,0,0,38,38,1
45,3,9,2,6,0,0,40,38,0
44,3,9,4,2,0,0,40,38,0
20,1,10,4,0,0,0,10,38,0
33,3,9,2,2,0,0,40,38,0
23,3,10,4,11,0,0,40,38,0
46,5,14,0,3,0,0,30,38,0
38,3,9,2,11,0,0,50,38,0
54,3,9,0,13,0,0,40,38,0
46,3,3,0,2,0,2339,45,38,0
25,3,10,2,2,0,0,40,38,0
46,3,10,0,11,0,0,40,38,0
36,1,10,2,13,0,0,40,38,0
23,3,9,4,7,0,0,25,38,0
29,3,9,5,6,0,0,40,38,0
44,3,10,2,0,0,2415,6,38,1
19,3,10,4,0,0,0,16,38,0
19,3,9,4,7,0,0,40,38,0
35,3,9,2,7,0,0,40,38,1
27,3,13,4,2,0,0,50,38,0
46,5,12,5,2,0,0,40,38,0
34,6,13,2,3,7688,0,45,41,1
34,3,9,4,7,0,0,35,38,0
44,3,10,2,12,0,0,40,38,0
45,3,10,0,5,0,0,40,38,0
20,8,9,4,14,0,0,35,38,0
25,3,13,2,3,0,0,55,38,1
52,4,13,2,3,0,0,50,38,1
20,3,10,4,5,0,0,40,38,0
28,3,10,4,7,0,0,40,38,0
50,6,13,2,10,0,0,40,38,1
34,3,11,0,12,0,0,64,38,0
28,3,4,2,5,0,2179,40,32,0
41,3,14,2,3,0,1977,65,38,1
28,3,9,2,0,0,0,40,38,0
46,5,9,2,2,0,0,25,38,0
28,8,10,2,14,0,1887,40,38,1
32,3,10,2,3,0,0,50,38,0
41,1,10,0,7,0,0,24,38,0
24,3,9,4,5,0,0,40,38,0
33,3,10,0,3,0,0,40,38,0
46,3,16,2,3,15024,0,60,38,1
31,6,10,2,6,0,0,40,38,0
35,3,8,0,2,0,0,50,38,1
52,3,2,2,6,0,0,40,25,0
30,3,7,4,7,0,0,19,38,0
34,1,7,5,6,0,0,40,38,0
34,6,9,0,13,0,0,40,38,0
20,3,10,2,11,0,0,30,38,0
17,3,7,4,5,2176,0,18,38,0
32,6,13,2,3,0,0,40,38,1
29,3,9,0,4,0,0,40,38,0
33,3,6,4,2,0,0,35,38,0
25,3,9,2,13,0,0,60,38,0
36,0,14,4,9,0,1408,40,38,0
23,3,9,4,5,0,0,72,5,0
63,4,9,2,3,0,0,40,38,1
47,1,14,2,9,0,0,40,38,0
80,8,9,6,14,0,0,24,38,0
17,8,7,4,14,0,0,40,38,0
40,5,13,3,9,2174,0,40,38,0
30,3,12,2,7,0,0,25,38,1
27,3,10,4,2,0,1980,40,29,0
33,3,14,2,9,0,0,50,38,1
34,1,9,4,4,594,0,60,38,0
34,1,10,4,10,0,0,40,38,0
23,3,10,2,0,0,0,40,38,0
42,1,10,2,0,0,0,40,38,0
29,3,13,4,9,0,0,40,38,0
45,3,9,0,0,0,0,28,38,0
24,0,9,4,1,0,0,40,38,0
44,3,10,2,9,0,0,40,38,1
27,3,5,4,2,0,0,40,25,0
20,3,10,4,11,0,0,35,38,0
44,3,9,6,3,0,0,40,38,0
51,3,9,2,2,0,0,40,38,0
20,3,9,2,6,0,0,40,38,0
17,8,7,4,14,0,0,5,38,0
19,3,9,4,6,0,0,40,38,0
45,4,10,2,2,0,0,55,38,1
60,3,9,2,2,0,0,40,38,1
42,3,12,2,3,0,0,40,41,1
44,5,9,2,11,0,0,40,38,1
40,3,11,2,6,0,0,40,38,1
30,3,9,2,3,0,0,40,38,0
38,3,10,2,13,0,0,50,38,0
23,3,9,2,13,0,0,60,38,0
32,8,10,2,14,0,0,40,38,0
44,3,12,4,4,0,0,40,38,0
54,1,9,2,13,0,0,40,38,0
32,3,13,2,9,0,0,50,38,0
50,3,2,3,2,0,0,40,38,0
24,3,13,4,12,0,0,20,38,0
37,3,9,2,0,0,0,60,38,0
52,3,9,0,13,0,0,40,38,0
38,3,10,2,13,0,0,40,38,0
49,3,14,2,3,0,1977,45,38,1
30,3,13,2,12,0,0,16,38,1
60,3,10,4,9,0,0,40,38,1
22,8,10,4,14,0,0,40,38,0
35,3,9,4,2,0,0,40,38,0
30,3,9,4,13,0,0,60,38,0
67,3,11,0,7,0,0,24,38,0
46,3,13,4,2,0,0,40,38,0
17,3,5,4,7,0,0,6,38,0
22,3,10,4,5,0,0,30,38,0
27,3,6,4,7,0,0,40,38,0
23,3,9,4,7,0,0,35,38,0
33,3,12,2,2,0,0,45,31,0
43,5,10,2,2,0,0,20,38,0
28,6,13,4,9,0,0,20,38,0
41,3,9,3,2,0,0,40,38,0
52,8,8,4,14,594,0,40,38,0
25,3,10,3,0,0,0,20,38,0
63,8,2,2,14,0,0,35,38,0
59,1,9,2,13,0,0,45,38,0
45,1,13,0,9,0,0,40,38,0
38,3,13,2,11,15024,0,60,38,1
40,3,9,4,7,0,0,35,38,0
46,0,9,0,0,0,0,40,38,0
35,3,12,4,3,0,0,60,38,0
34,3,9,0,9,0,0,25,38,0
33,3,13,4,2,0,0,20,38,0
41,3,9,0,0,0,0,36,38,0
20,3,10,4,6,0,0,40,38,0
23,3,3,4,7,0,0,40,7,0
26,3,10,4,9,0,0,35,38,0
72,8,9,2,14,0,0,20,38,0
23,1,9,4,4,0,0,40,30,0
62,1,9,2,13,0,0,40,38,0
52,3,10,2,0,0,0,40,38,0
58,3,10,0,7,0,0,42,9,0
25,3,13,4,11,0,0,40,38,0
24,3,13,4,3,0,0,40,38,0
19,3,10,4,10,0,0,8,38,0
43,3,10,2,3,0,0,40,38,0
47,1,9,5,0,0,0,40,38,0
39,3,9,0,7,0,0,40,38,0
49,3,11,3,5,0,1380,42,38,0
53,8,3,6,14,0,0,30,38,0
32,3,11,4,2,0,0,45,38,0
34,3,10,2,9,0,0,50,38,1
28,3,9,0,2,0,0,45,38,0
57,8,11,6,14,0,0,38,38,0
25,3,10,4,0,0,0,20,38,0
20,8,10,4,14,0,0,24,38,0
21,8,10,4,14,0,0,35,38,0
34,3,13,2,9,0,0,50,38,1
38,4,13,2,3,15024,0,80,38,1
50,3,9,2,3,7688,0,50,38,1
24,1,10,0,5,0,0,50,38,0
37,1,10,2,12,0,0,45,38,1
44,3,10,0,6,0,0,58,38,1
28,3,10,2,11,0,0,40,38,0
42,3,13,2,3,0,0,40,38,1
74,3,10,0,0,0,0,9,38,0
38,5,9,2,2,0,0,50,38,0
44,5,14,2,9,0,0,40,38,0
44,3,7,0,6,0,0,46,32,0
26,3,9,4,6,0,0,40,38,0
36,3,9,2,7,0,0,40,38,0
41,3,12,2,3,0,0,50,38,1
67,3,15,2,9,20051,0,48,38,1
39,1,8,2,12,0,0,50,38,0
57,3,2,6,8,0,0,30,38,0
29,3,11,5,2,0,0,40,38,0
31,4,13,4,4,0,0,45,38,0
34,8,9,4,14,0,0,40,38,0
44,3,10,2,13,0,0,40,38,0
29,3,16,4,9,0,0,40,38,0
30,3,10,4,5,0,0,40,38,0
27,3,9,4,13,0,0,40,38,0
27,3,10,2,11,0,0,50,38,0
32,3,9,4,5,0,0,45,38,0
58,3,6,2,7,0,0,8,38,0
35,1,10,2,10,0,0,40,38,0
21,3,9,4,5,0,0,36,38,0
28,3,10,4,2,0,0,40,38,0
46,5,10,0,3,0,0,50,38,0
36,5,9,5,7,0,0,40,38,0
72,3,7,6,0,0,0,40,38,0
35,3,9,2,6,0,0,40,38,0
33,0,11,0,2,0,0,40,38,1
69,3,7,4,6,0,0,40,38,0
35,3,9,2,6,0,0,40,38,0
31,3,9,5,0,0,0,20,41,0
34,3,9,2,12,0,0,32,38,0
30,3,7,2,7,0,0,40,25,0
28,3,13,4,13,0,0,55,38,0
54,3,13,2,11,0,0,35,38,1
47,3,10,2,9,0,0,50,38,1
24,3,9,4,5,0,0,40,38,0
52,5,13,2,9,0,0,60,38,1
20,3,9,4,5,0,0,48,38,0
43,4,14,2,3,5013,0,45,38,0
45,3,4,5,7,0,0,40,25,0
29,5,9,5,2,0,0,35,38,0
47,3,14,0,3,0,0,42,38,0
24,3,9,4,2,0,0,40,38,0
51,3,9,2,9,0,0,40,38,0
17,3,7,4,11,0,0,12,38,0
37,3,11,2,2,0,1977,40,38,1
27,3,16,4,9,0,0,70,38,0
29,3,13,2,3,0,0,40,38,1
18,8,8,4,14,0,0,25,38,0
36,5,12,0,11,0,0,35,38,0
58,1,13,4,9,0,0,40,38,0
26,5,10,2,2,0,0,45,38,0
65,8,10,2,14,0,0,30,38,1
57,3,9,2,11,0,0,40,38,1
59,3,9,2,2,0,0,40,38,0
27,3,9,2,6,0,0,40,38,0
31,5,13,4,12,0,0,40,38,0
21,3,10,4,11,0,0,24,38,0
29,3,10,4,0,0,0,60,38,0
18,3,7,4,7,0,0,40,38,0
52,3,6,2,2,0,1887,47,38,1
57,4,13,0,9,0,0,80,38,0
42,8,9,2,14,0,0,40,38,0
55,8,9,2,14,0,0,40,38,0
60,3,4,4,13,0,0,48,38,1
31,3,13,2,9,7688,0,40,1,1
23,3,13,4,0,0,0,40,38,0
27,3,9,4,11,0,0,40,38,0
23,8,10,4,14,0,0,25,38,0
42,5,15,2,9,0,1902,50,38,1
25,3,10,4,12,2174,0,40,38,0
49,3,13,4,9,0,0,45,38,0
32,3,13,4,12,0,0,40,38,0
19,3,10,4,0,0,0,28,38,0
60,3,4,0,7,0,0,40,38,0
42,1,5,2,7,0,0,40,38,0
35,5,12,4,4,0,0,40,38,0
48,3,9,4,0,0,0,37,38,0
51,3,14,2,2,0,0,40,38,1
29,3,9,4,2,0,0,40,38,0
36,1,9,5,3,0,0,40,38,0
17,3,6,4,7,0,0,21,38,0
52,3,14,0,9,6849,0,60,38,0
24,3,9,4,2,0,0,40,38,0
24,3,9,2,5,0,0,50,38,0
26,1,13,4,9,1055,0,40,38,0
27,3,13,4,7,0,0,20,38,0
39,3,9,4,5,0,0,60,38,0
30,3,9,2,13,0,0,45,38,0
50,5,9,2,3,0,0,32,38,0
52,4,13,2,11,0,0,55,38,0
46,3,15,2,9,15024,0,45,38,1
23,3,13,4,11,0,0,20,38,0
45,3,7,6,7,0,0,20,38,0
65,3,5,6,8,0,0,24,38,0
29,3,11,2,13,0,0,55,38,0
47,3,5,3,5,0,0,40,7,0
30,3,9,4,4,0,0,60,38,0
34,3,9,2,11,0,0,45,38,1
38,5,9,2,11,0,0,64,38,0
33,3,10,2,3,0,0,40,38,1
49,3,13,2,11,0,0,26,38,1
47,5,10,4,7,0,0,40,38,0
49,1,6,5,7,0,0,40,38,0
43,3,10,2,2,15024,0,60,38,1
30,3,13,2,0,0,0,40,38,1
58,5,9,2,2,0,0,60,38,0
19,3,9,4,7,0,0,14,38,0
21,3,13,4,5,0,0,40,38,0
33,3,13,2,3,15024,0,60,38,1
47,4,3,2,13,0,0,50,4,0
52,5,16,2,9,0,0,60,38,1
26,3,9,0,2,0,0,55,38,0
60,3,9,2,2,0,0,40,38,0
21,3,10,4,5,0,0,40,38,0
36,3,10,2,11,5178,0,50,38,1
31,3,10,2,2,0,0,45,38,0
50,4,16,5,9,0,0,40,38,1
31,1,9,0,0,0,0,40,38,0
71,3,9,2,2,0,0,15,38,0
58,8,9,2,14,0,0,50,38,0
30,6,13,2,12,0,0,40,38,1
20,3,10,4,7,0,0,20,38,0
24,3,9,4,3,4101,0,50,38,0
35,3,16,2,9,0,0,40,35,1
38,6,10,5,3,0,0,45,38,0
27,3,9,4,6,0,0,32,38,0
29,6,10,4,0,0,0,40,29,0
70,8,5,6,14,1111,0,15,38,0
34,3,9,2,2,0,0,45,38,0
44,3,4,2,2,0,0,35,38,0
43,3,9,2,6,0,0,40,38,1
44,5,8,2,5,0,0,40,38,1
35,3,14,4,11,0,0,60,38,0
27,3,10,4,9,0,0,40,38,0
43,1,14,4,9,0,0,38,38,0
20,3,10,4,11,0,0,25,38,0
42,3,12,0,9,8614,0,40,38,1
27,6,10,2,13,3411,0,40,38,0
42,3,9,2,2,0,0,40,38,1
20,8,7,3,14,0,1762,40,34,0
24,3,5,4,6,0,1721,40,38,0
48,0,10,0,3,0,0,40,38,0
17,8,7,4,14,0,0,20,38,0
17,5,7,4,4,0,0,10,38,0
33,3,13,2,3,0,0,40,38,1
50,4,9,2,11,0,0,50,38,1
22,3,9,4,11,2597,0,40,38,0
17,3,8,4,7,0,0,16,38,0
32,3,10,2,0,0,0,40,25,0
31,3,9,4,2,0,0,45,38,0
58,5,9,6,3,0,0,50,38,0
29,1,9,4,10,0,0,48,38,0
37,3,11,2,2,0,0,40,31,1
34,5,9,2,2,0,0,40,38,1
23,1,10,5,3,0,0,40,38,0
18,6,7,4,0,0,0,5,38,0
34,3,9,0,3,0,0,40,38,0
66,8,4,4,14,0,0,4,38,0
45,1,13,2,9,0,0,55,38,0
41,3,14,4,3,0,0,35,5,0
26,3,9,4,7,0,0,30,38,0
54,1,10,2,4,0,0,40,38,0
